days,1,,,2,,,3,,,4,,,5
203,0.153935091,,203,0.082230067,,203,0.05030854,,203,0.015005551,,203,0.0121
223,0.405051983,,223,0.310793383,,223,0.225036946,,223,0.149266777,,223,0.075248985
243,0.624283335,,243,0.492616168,,243,0.350913439,,243,0.233365988,,243,0.130350286
263,0.801535235,,263,0.63779702,,263,0.44877999,,263,0.290697359,,263,0.165217393
283,0.940549609,,283,0.754587348,,283,0.526935134,,283,0.333310349,,283,0.185904381
303,1.050147543,,303,0.84949041,,303,0.58752552,,303,0.366034596,,303,0.197488634
323,1.1384964,,323,0.927360361,,323,0.631318497,,323,0.38991753,,323,0.204070854
343,1.210400748,,343,0.991501297,,343,0.66085575,,343,0.404974721,,343,0.208775053
363,1.267617079,,363,1.0437663,,363,0.681987975,,363,0.412252935,,363,0.213748558
383,1.312192332,,383,1.084656479,,383,0.703790595,,383,0.415205932,,383,0.220162009
403,1.35282622,,403,1.113420021,,403,0.736860524,,403,0.420382972,,403,0.228209359
423,1.452599291,,423,1.174665936,,423,0.789993974,,423,0.43743005,,423,0.237107875
443,1.585087526,,443,1.287314781,,443,0.865245297,,443,0.47840386,,443,0.289499384
463,1.696309535,,463,1.380805731,,463,0.951366883,,463,0.578070145,,463,0.331460284
483,1.789476089,,483,1.458222931,,483,1.015630089,,483,0.61974069,,483,0.365306185
503,1.867449038,,503,1.522307163,,503,1.099398536,,503,0.656908924,,503,0.39256192
523,1.932760649,,523,1.575474644,,523,1.127781288,,523,0.690072995,,523,0.414564215
543,1.987632944,,543,1.619835832,,543,1.15470355,,543,0.719688913,,543,0.432472877
563,2.03399703,,563,1.657214221,,563,1.180213463,,563,0.746172432,,563,0.447281977
583,2.073512435,,583,1.689165146,,583,1.20435917,,583,0.769900912,,583,0.459831041
603,2.107586447,,603,1.716994582,,603,1.227188811,,603,0.7912152,,603,0.47081623
623,2.137393444,,623,1.741777944,,623,1.24875053,,623,0.810421499,,623,0.480801532
643,2.163894233,,643,1.764378888,,643,1.269092466,,643,0.827793243,,643,0.490229944
663,2.187855382,,663,1.785468112,,663,1.288262763,,663,0.843572967,,663,0.499434661
683,2.20986856,,683,1.805542157,,683,1.306309562,,683,0.857974183,,683,0.508650261
703,2.230369864,,703,1.824942207,,703,1.323281004,,703,0.87118325,,703,0.51802389
723,2.249659161,,723,1.843872891,,723,1.339225232,,723,0.88336125,,723,0.527626452
743,2.267919423,,743,1.86242108,,743,1.354190386,,743,0.894645858,,743,0.537463789
763,2.285236056,,763,1.880574692,,763,1.36822461,,763,0.905153215,,763,0.547487874
783,2.301616243,,783,1.898241491,,783,1.381376044,,783,0.914979803,,783,0.557607993
803,2.317008271,,803,1.915267885,,803,1.393692831,,803,0.924204317,,803,0.567701931
823,2.331320873,,823,1.931457733,,823,1.405223111,,823,0.932889537,,823,0.577627161
843,2.34444256,,843,1.946591138,,843,1.416015027,,843,0.9410842,,843,0.587232028
863,2.356260956,,863,1.960443254,,863,1.426116721,,863,0.948824877,,863,0.596366937
883,2.366682134,,883,1.972803082,,883,1.435576334,,883,0.95613784,,883,0.604895535
903,2.375649949,,903,1.983492274,,903,1.444442008,,903,0.963040941,,903,0.612705903
923,2.383165377,,923,1.992383933,,923,1.452761885,,923,0.969545478,,923,0.619721738
943,2.389305846,,943,1.999421411,,943,1.460584106,,943,0.975658074,,943,0.625913542
963,2.394244573,,963,2.004637112,,963,1.467956814,,963,0.981382548,,963,0.631309804
983,2.398269899,,983,2.008171294,,983,1.474928149,,983,0.986721786,,983,0.636008192
1003,2.401804625,,1003,2.010290867,,1003,1.481546255,,1003,0.991679614,,1003,0.640186734
1023,2.405425346,,1023,2.011408194,,1023,1.487859271,,1023,0.996262675,,1023,0.644115007
1043,2.409881784,,1043,2.012099892,,1043,1.493915341,,1043,1.000482297,,1043,0.648165324
1063,2.416116128,,1063,2.013125633,,1063,1.499762606,,1063,1.004356366,,1063,0.652823916
1083,2.425282365,,1083,2.015446947,,1083,1.505449207,,1083,1.007911205,,1083,0.658702123
1103,2.438765616,,1103,2.020246016,,1103,1.511023287,,1103,1.011183438,,1103,0.666547577
1123,2.458201472,,1123,2.028944482,,1123,1.516532987,,1123,1.014221869,,1123,0.67725539